IsSponsored,MarketCurrencyLong,LogoUrl,MarketCurrency,Created,BaseCurrencyLong,MinTradeSize,IsActive,BaseCurrency,MarketName,Notice
,Litecoin,https://bittrexblobstorage.blob.core.windows.net/public/6defbc41-582d-47a6-bb2e-d0fa88663524.png,LTC,2014-02-13T00:00:00,Bitcoin,1e-08,True,BTC,BTC-LTC,
,Dogecoin,https://bittrexblobstorage.blob.core.windows.net/public/a2b8eaee-2905-4478-a7a0-246f212c64c6.png,DOGE,2014-02-13T00:00:00,Bitcoin,1e-08,True,BTC,BTC-DOGE,
,Vertcoin,https://bittrexblobstorage.blob.core.windows.net/public/1f0317bc-c44b-4ea4-8a89-b9a71f3349c8.png,VTC,2014-02-13T00:00:00,Bitcoin,1e-08,True,BTC,BTC-VTC,
,Peercoin,,PPC,2014-02-13T00:00:00,Bitcoin,1e-08,True,BTC,BTC-PPC,
,Feathercoin,https://bittrexblobstorage.blob.core.windows.net/public/a69f83f0-112c-4d98-8e14-5e0e9be47404.png,FTC,2014-02-13T00:00:00,Bitcoin,1e-08,True,BTC,BTC-FTC,
,ReddCoin,https://bittrexblobstorage.blob.core.windows.net/public/4b7ce5a5-8c12-4741-86f2-3a48cb55c91a.png,RDD,2014-02-25T09:00:00,Bitcoin,1e-08,True,BTC,BTC-RDD,
,NXT,https://bittrexblobstorage.blob.core.windows.net/public/443d492d-4f8b-4a2d-a613-1b37e4ab80cd.png,NXT,2014-03-03T09:00:00,Bitcoin,1e-08,True,BTC,BTC-NXT,
,Dash,https://bittrexblobstorage.blob.core.windows.net/public/49993d38-d344-4197-b449-c50c3cc13d47.png,DASH,2014-03-11T08:00:00,Bitcoin,1e-08,True,BTC,BTC-DASH,
,PotCoin,https://bittrexblobstorage.blob.core.windows.net/public/149a1a49-3cca-461b-a8e4-8ea8409c27bd.png,POT,2014-03-11T08:00:00,Bitcoin,1e-08,True,BTC,BTC-POT,
False,BlackCoin,https://bittrexblobstorage.blob.core.windows.net/public/c3409d42-a907-4764-ad03-118917761cc2.png,BLK,2014-03-14T09:00:00,Bitcoin,1e-08,True,BTC,BTC-BLK,
,Einsteinium,https://bittrexblobstorage.blob.core.windows.net/public/aa92fc78-8100-4adb-bbb9-05fb1b7bd166.png,EMC2,2014-12-24T00:00:00,Bitcoin,1e-08,True,BTC,BTC-EMC2,
,Myriad,https://bittrexblobstorage.blob.core.windows.net/public/bd1eb9c2-9bb7-4c95-b4b8-037a4419ee67.png,XMY,2014-03-15T08:00:00,Bitcoin,1e-08,True,BTC,BTC-XMY,
,AuroraCoin,https://bittrexblobstorage.blob.core.windows.net/public/8662a354-f45c-4dec-be5b-8038ca47fd96.png,AUR,2014-03-16T22:00:00,Bitcoin,1e-08,True,BTC,BTC-AUR,
,ElectronicGulden,https://bittrexblobstorage.blob.core.windows.net/public/4d984e89-67d8-4f36-b943-5365438952cb.png,EFL,2014-03-20T20:00:00,Bitcoin,1e-08,True,BTC,BTC-EFL,
,GoldCoin,https://bittrexblobstorage.blob.core.windows.net/public/8042e8a5-e8fc-4a89-8694-d61d5f500aac.png,GLD,2014-03-22T16:00:00,Bitcoin,1e-08,True,BTC,BTC-GLD,
,SolarCoin,https://bittrexblobstorage.blob.core.windows.net/public/33e931bb-b715-4075-bf6f-02369e9f8439.png,SLR,2014-03-23T06:00:00,Bitcoin,1e-08,True,BTC,BTC-SLR,
,PesetaCoin ,https://bittrexblobstorage.blob.core.windows.net/public/e9717112-e5a9-429c-a8b8-621cdb3e3714.png,PTC,2014-03-27T18:00:00,Bitcoin,1e-08,True,BTC,BTC-PTC,
,Groestlcoin,https://bittrexblobstorage.blob.core.windows.net/public/3b79133e-b65e-497c-b65a-f254511eedc9.png,GRS,2014-04-03T05:00:00,Bitcoin,1e-08,True,BTC,BTC-GRS,
False,Gulden,https://bittrexblobstorage.blob.core.windows.net/public/55cf6802-c3d8-4b43-85b2-bb672c0c6211.png,NLG,2014-04-04T22:00:00,Bitcoin,1e-08,True,BTC,BTC-NLG,
False,RubyCoin,https://bittrexblobstorage.blob.core.windows.net/public/134cdb3a-a4dc-4557-a51a-209d3b3ba8c0.png,RBY,2014-04-05T08:00:00,Bitcoin,1e-08,True,BTC,BTC-RBY,
,WhiteCoin,https://bittrexblobstorage.blob.core.windows.net/public/dd94ac21-5ddf-48cf-8c5a-9a52f6292d01.png,XWC,2014-04-14T00:00:00,Bitcoin,1e-08,True,BTC,BTC-XWC,
,MonaCoin,https://bittrexblobstorage.blob.core.windows.net/public/db5aa488-25ea-4b4c-a6b0-377a569c06d2.png,MONA,2014-04-18T22:00:00,Bitcoin,1e-08,True,BTC,BTC-MONA,
,HempCoin,https://bittrexblobstorage.blob.core.windows.net/public/e9feeea9-b6fd-4521-b446-1c5e4520db31.png,THC,2014-04-29T21:00:00,Bitcoin,1e-08,True,BTC,BTC-THC,
,EnergyCoin,https://bittrexblobstorage.blob.core.windows.net/public/f339a246-0e20-4eda-be4d-4c5a7fcc5e59.png,ENRG,2014-05-04T00:00:00,Bitcoin,1e-08,True,BTC,BTC-ENRG,
,EuropeCoin,https://bittrexblobstorage.blob.core.windows.net/public/46212518-56cd-4510-a9ee-0d12631127ce.png,ERC,2014-05-10T17:00:00,Bitcoin,1e-08,True,BTC,BTC-ERC,
,VeriCoin,https://bittrexblobstorage.blob.core.windows.net/public/5b7a3d31-88f0-4533-aa87-29eb558f79a8.png,VRC,2014-05-13T07:00:00,Bitcoin,1e-08,True,BTC,BTC-VRC,
,CureCoin,https://bittrexblobstorage.blob.core.windows.net/public/5168cfb6-ad9a-4b63-b9dd-cf33cbf52c8e.png,CURE,2014-05-13T09:00:00,Bitcoin,1e-08,True,BTC,BTC-CURE,
,Monero,https://bittrexblobstorage.blob.core.windows.net/public/efcda24e-c6c3-4029-982c-15af2915fb08.png,XMR,2014-06-04T07:38:39.24,Bitcoin,1e-08,True,BTC,BTC-XMR,
,CloakCoin,https://bittrexblobstorage.blob.core.windows.net/public/224f0241-dd5b-4675-8f64-aff9534727a5.png,CLOAK,2014-06-04T08:53:18.563,Bitcoin,1e-08,True,BTC,BTC-CLOAK,
,StartCoin,https://bittrexblobstorage.blob.core.windows.net/public/2b596cad-231b-4252-8b50-0a5895a8a6b4.png,START,2014-06-14T07:09:15.327,Bitcoin,1e-08,True,BTC,BTC-START,
,Kore,https://bittrexblobstorage.blob.core.windows.net/public/42b8d2f5-bbba-43c4-a439-548e42928df0.png,KORE,2014-06-17T05:46:29.303,Bitcoin,1e-08,True,BTC,BTC-KORE,
,DigitalNote,,XDN,2014-06-21T18:37:57.64,Bitcoin,1e-08,True,BTC,BTC-XDN,
,TrustPlus,https://bittrexblobstorage.blob.core.windows.net/public/d3014256-c08a-47e9-aaca-84d7e33f0d20.png,TRUST,2014-07-07T05:46:18.71,Bitcoin,1e-08,True,BTC,BTC-TRUST,
,NAVCoin,https://bittrexblobstorage.blob.core.windows.net/public/1602ecf1-fc60-42b2-afa6-3e48dbe9b884.png,NAV,2014-07-08T03:37:28.39,Bitcoin,1e-08,True,BTC,BTC-NAV,
,StealthCoin,https://bittrexblobstorage.blob.core.windows.net/public/47b7ec3d-4271-42ce-af16-5de4dee4b2a5.png,XST,2014-07-09T20:33:00.59,Bitcoin,1e-08,True,BTC,BTC-XST,
,BitcoinDark,https://bittrexblobstorage.blob.core.windows.net/public/c705ff3a-42f4-43f8-a78d-a592725fe3c7.png,BTCD,2014-07-14T06:05:04.567,Bitcoin,1e-08,True,BTC,BTC-BTCD,
,ViaCoin ,https://bittrexblobstorage.blob.core.windows.net/public/1ac53fb8-3173-46a8-af74-55029492dda4.png,VIA,2014-07-18T00:20:00.393,Bitcoin,1e-08,True,BTC,BTC-VIA,
False,PinkCoin,https://bittrexblobstorage.blob.core.windows.net/public/bf810adc-114d-4809-a3a7-7a5f648aab52.png,PINK,2014-07-29T07:41:09.4,Bitcoin,1e-08,True,BTC,BTC-PINK,
,I/OCoin,https://bittrexblobstorage.blob.core.windows.net/public/080896ac-8a2c-4826-b708-92a3db60a6de.png,IOC,2014-07-29T16:57:43.787,Bitcoin,1e-08,True,BTC,BTC-IOC,
,CannabisCoin,https://bittrexblobstorage.blob.core.windows.net/public/78d826b0-0df4-4c6c-a99d-ac1673562cd8.png,CANN,2014-08-10T06:48:44.83,Bitcoin,1e-08,True,BTC,BTC-CANN,
,SysCoin,https://bittrexblobstorage.blob.core.windows.net/public/131b4cd3-2bbd-4a11-a5ec-04e3acbfc6db.png,SYS,2014-08-16T19:57:48.823,Bitcoin,1e-08,True,BTC,BTC-SYS,
False,NeosCoin,https://bittrexblobstorage.blob.core.windows.net/public/4794e73b-1360-43b6-9e41-ffc7c37e1195.png,NEOS,2014-08-20T00:06:59.63,Bitcoin,1e-08,True,BTC,BTC-NEOS,
,Digibyte,https://bittrexblobstorage.blob.core.windows.net/public/f71e4e1a-9249-47a0-b4d0-53afa08ccbc3.png,DGB,2014-08-20T07:09:57.207,Bitcoin,1e-08,True,BTC,BTC-DGB,
,BURSTCoin,,BURST,2014-09-16T07:41:56.047,Bitcoin,1e-08,True,BTC,BTC-BURST,
False,ExclusiveCoin,https://bittrexblobstorage.blob.core.windows.net/public/44b352cd-c08a-48cd-b602-2b4f8fc5feb1.png,EXCL,2014-09-28T20:33:27.633,Bitcoin,1e-08,True,BTC,BTC-EXCL,
,Bitswift,https://bittrexblobstorage.blob.core.windows.net/public/765542e8-cdd1-4831-9e7c-3921fd9981b7.png,SWIFT,2014-10-03T19:16:23.143,Bitcoin,1e-08,True,BTC,BTC-SWIFT,
,DopeCoin,https://bittrexblobstorage.blob.core.windows.net/public/fa2cf328-cd0f-4ee3-b6df-3b9cfd721dde.png,DOPE,2014-10-17T19:09:32.6,Bitcoin,1e-08,True,BTC,BTC-DOPE,
False,BlockNet,https://bittrexblobstorage.blob.core.windows.net/public/99f30490-dd19-4eac-b7ff-97101d855dc2.png,BLOCK,2014-10-29T06:45:03.97,Bitcoin,1e-08,True,BTC,BTC-BLOCK,
False,ArtByte,https://bittrexblobstorage.blob.core.windows.net/public/2570db52-0a6d-4df7-94f7-5e3da3b34f47.png,ABY,2014-10-31T01:43:25.743,Bitcoin,1e-08,True,BTC,BTC-ABY,
False,Bytecent,https://bittrexblobstorage.blob.core.windows.net/public/f131fa9a-7347-4fb3-a675-dc9d808d1bce.png,BYC,2014-11-03T19:02:45.96,Bitcoin,1e-08,True,BTC,BTC-BYC,
,Magi,https://bittrexblobstorage.blob.core.windows.net/public/1a8c9737-5ea7-48d2-97ec-4d4cda472023.png,XMG,2014-11-10T06:25:07.533,Bitcoin,1e-08,True,BTC,BTC-XMG,
,Blitzcash,https://bittrexblobstorage.blob.core.windows.net/public/2f43325b-6fa9-4042-9fbc-9731a7c9109d.png,BLITZ,2014-11-13T20:20:21.443,Bitcoin,1e-08,True,BTC,BTC-BLITZ,
,BitBay,https://bittrexblobstorage.blob.core.windows.net/public/11a11ba1-2476-496e-a567-e78b158126d9.png,BAY,2014-11-18T17:34:21.083,Bitcoin,1e-08,True,BTC,BTC-BAY,
,BitShares,https://bittrexblobstorage.blob.core.windows.net/public/b167ab3b-9e08-4fc4-ac1d-088bf16200c4.png,BTS,2014-11-24T08:18:16.53,Bitcoin,1e-08,False,BTC,BTC-BTS,"This market will be deleted on October 13th, 2017."
False,FairCoin,https://bittrexblobstorage.blob.core.windows.net/public/2caaa6c9-e111-4ffb-b781-933b8c590fc4.png,FAIR,2014-12-12T19:51:07.703,Bitcoin,1e-08,True,BTC,BTC-FAIR,
,SpreadCoin,https://bittrexblobstorage.blob.core.windows.net/public/9a7c3052-85b5-4528-a72d-b32ae25c7657.png,SPR,2014-12-19T02:33:07.747,Bitcoin,1e-08,True,BTC,BTC-SPR,
,vTorrent,https://bittrexblobstorage.blob.core.windows.net/public/bf696581-0450-40a7-bd56-f4bbc1fa5317.png,VTR,2014-12-19T02:33:10.943,Bitcoin,1e-08,True,BTC,BTC-VTR,
,Ripple,https://bittrexblobstorage.blob.core.windows.net/public/8101e36e-bfce-48a9-a7a6-368b6e9452dd.png,XRP,2014-12-22T19:30:27.45,Bitcoin,1e-08,True,BTC,BTC-XRP,
,GameCredits,https://bittrexblobstorage.blob.core.windows.net/public/1952d8bb-1295-4cd7-bc37-7a2568bbcb1e.png,GAME,2015-04-08T04:09:53.013,Bitcoin,1e-08,True,BTC,BTC-GAME,
,Circuits of Value,https://bittrexblobstorage.blob.core.windows.net/public/85cdc262-1870-4878-8562-43cc56faba2b.png,COVAL,2015-01-22T19:11:45.903,Bitcoin,1e-08,True,BTC,BTC-COVAL,
False,Nexus,https://bittrexblobstorage.blob.core.windows.net/public/78ae1c0d-55c7-4375-9855-d6bd27ee7672.png,NXS,2015-01-25T03:00:35.143,Bitcoin,1e-08,True,BTC,BTC-NXS,
False,Counterparty,https://bittrexblobstorage.blob.core.windows.net/public/462417ed-c7cb-4663-b878-7e87231314a5.png,XCP,2015-02-14T04:20:41,Bitcoin,1e-08,True,BTC,BTC-XCP,
,BitBean,https://bittrexblobstorage.blob.core.windows.net/public/1237b0c9-2373-4545-a342-d3fdb4fbe8ed.png,BITB,2015-02-15T23:07:32.777,Bitcoin,1e-08,True,BTC,BTC-BITB,
,GeoCoin,https://bittrexblobstorage.blob.core.windows.net/public/262c99e6-3f0d-4dbf-90b4-167dfa7f0d67.png,GEO,2015-02-21T03:29:43.267,Bitcoin,1e-08,True,BTC,BTC-GEO,
,FoldingCoin,,FLDC,2015-02-23T23:01:53.92,Bitcoin,1e-08,True,BTC,BTC-FLDC,
,GridCoin,https://bittrexblobstorage.blob.core.windows.net/public/189514d6-10bf-4c3f-81ab-d24f16bc806f.png,GRC,2015-02-27T19:57:02.82,Bitcoin,1e-08,True,BTC,BTC-GRC,
,Florin,https://bittrexblobstorage.blob.core.windows.net/public/57acadf2-ee77-44a3-b879-be95aae0e9fa.png,FLO,2015-03-11T05:43:30.193,Bitcoin,1e-08,True,BTC,BTC-FLO,
False,Nubits,https://bittrexblobstorage.blob.core.windows.net/public/cf36f87c-5841-452f-8968-ba183ae5d833.png,NBT,2015-04-08T03:57:37.33,Bitcoin,1e-08,True,BTC,BTC-NBT,
False,MonetaryUnit,https://bittrexblobstorage.blob.core.windows.net/public/74855e5d-b489-44da-a2a8-2d3a1f05dabd.png,MUE,2015-04-09T17:31:31.113,Bitcoin,1e-08,True,BTC,BTC-MUE,
,NewEconomyMovement,,XEM,2015-04-10T21:06:00.043,Bitcoin,1e-08,True,BTC,BTC-XEM,
,CLAMs,https://bittrexblobstorage.blob.core.windows.net/public/b63db8c7-892b-486b-9802-203b7794ff51.png,CLAM,2015-04-18T22:04:25.183,Bitcoin,1e-08,True,BTC,BTC-CLAM,
,Diamond,https://bittrexblobstorage.blob.core.windows.net/public/5dd68d85-f24c-42ed-b25a-908bab7d753b.png,DMD,2015-05-01T17:31:24.97,Bitcoin,1e-08,True,BTC,BTC-DMD,
False,Gambit,https://bittrexblobstorage.blob.core.windows.net/public/6695481a-1294-4bf8-b2f6-bd182dd698fa.png,GAM,2015-05-05T22:38:44.963,Bitcoin,1e-08,True,BTC,BTC-GAM,
,Sphere,https://bittrexblobstorage.blob.core.windows.net/public/41cc33db-085a-4521-a420-f9d9775c1131.png,SPHR,2015-05-18T22:45:47.093,Bitcoin,1e-08,True,BTC,BTC-SPHR,
,OkCash,https://bittrexblobstorage.blob.core.windows.net/public/95a3b2d2-2f8b-44d9-9c4e-d9140d51b87d.png,OK,2015-05-30T19:26:37.523,Bitcoin,1e-08,True,BTC,BTC-OK,
,Synergy,https://bittrexblobstorage.blob.core.windows.net/public/2530116b-7eea-41b0-b57c-f57c7c41f2c0.png,SNRG,2015-06-03T06:27:04.623,Bitcoin,1e-08,True,BTC,BTC-SNRG,
,ParkByte,https://bittrexblobstorage.blob.core.windows.net/public/d7711420-de59-4c1f-b4da-e4eb4846d56f.png,PKB,2015-06-03T06:31:14.35,Bitcoin,1e-08,True,BTC,BTC-PKB,
,CapriCoin,https://bittrexblobstorage.blob.core.windows.net/public/4c6e9123-ac18-47ff-8cbb-7131bc311c85.png,CPC,2015-07-25T06:30:32.53,Bitcoin,1e-08,True,BTC,BTC-CPC,
,Aeon,https://bittrexblobstorage.blob.core.windows.net/public/efc27a0f-e2cb-47a6-819c-18b96d8868b1.png,AEON,2015-07-31T00:50:47.11,Bitcoin,1e-08,True,BTC,BTC-AEON,
,Ethereum,https://bittrexblobstorage.blob.core.windows.net/public/7e5638ef-8ca0-404d-b61e-9d41c2e20dd9.png,ETH,2015-08-14T09:02:24.817,Bitcoin,1e-08,True,BTC,BTC-ETH,
False,GlobalCurrencyReserve,https://bittrexblobstorage.blob.core.windows.net/public/34491209-c13b-49f4-8778-50c2f1d79a0d.png,GCR,2015-08-24T00:25:28.933,Bitcoin,1e-08,True,BTC,BTC-GCR,
,TransferCoin,https://bittrexblobstorage.blob.core.windows.net/public/9c472781-4ead-40be-b422-568b36a6d5b5.png,TX,2015-09-02T08:02:54.3,Bitcoin,1e-08,True,BTC,BTC-TX,
,BitCrystals,,BCY,2015-09-10T05:28:20.787,Bitcoin,1e-08,True,BTC,BTC-BCY,
,Expanse,https://bittrexblobstorage.blob.core.windows.net/public/74b6ee31-194d-48ca-a770-2f881f11dd77.png,EXP,2015-09-16T17:10:15.253,Bitcoin,1e-08,True,BTC,BTC-EXP,
,InfluxCoin,https://bittrexblobstorage.blob.core.windows.net/public/2b2e0724-bb2e-4fda-9234-cf3d99166a20.png,INFX,2015-10-03T20:41:41.403,Bitcoin,1e-08,True,BTC,BTC-INFX,
,OMNI,,OMNI,2015-11-03T19:13:33.197,Bitcoin,1e-08,True,BTC,BTC-OMNI,
